iso3,year,partner,measure,value,unit,source,retrieved
BEL,2024,Oceania & polar regions,export share,0.543,% of total exports,"Eurostat COMEXT ds-059331 (International trade of EU and non-EU countries since 2002 by SITC); reporter=BE, product=TOTAL, flow=2 EXPORT, indicators=VALUE_EUR, freq=A, time=2024; regional aggregate = sum of individual partner-country values (mapping in _regions_build.py); denominator = partner=WORLD total exports",2026-08-06
BEL,2024,Other / unallocated,export share,0.7918,% of total exports,"Eurostat COMEXT ds-059331 (International trade of EU and non-EU countries since 2002 by SITC); reporter=BE, product=TOTAL, flow=2 EXPORT, indicators=VALUE_EUR, freq=A, time=2024; regional aggregate = sum of individual partner-country values (mapping in _regions_build.py); denominator = partner=WORLD total exports",2026-08-06
BEL,2024,Rest of Europe (non-EU27),export share,30.6654,% of extra-EU27 exports,"Eurostat COMEXT ds-059331 (International trade of EU and non-EU countries since 2002 by SITC); reporter=BE, product=TOTAL, flow=2 EXPORT, indicators=VALUE_EUR, freq=A, time=2024; regional aggregate = sum of individual partner-country values (mapping in _regions_build.py); denominator = total exports minus exports to the 27 EU member states",2026-08-06
BEL,2024,Asia (excl. Middle East),export share,18.2661,% of extra-EU27 exports,"Eurostat COMEXT ds-059331 (International trade of EU and non-EU countries since 2002 by SITC); reporter=BE, product=TOTAL, flow=2 EXPORT, indicators=VALUE_EUR, freq=A, time=2024; regional aggregate = sum of individual partner-country values (mapping in _regions_build.py); denominator = total exports minus exports to the 27 EU member states",2026-08-06
BEL,2024,Middle East,export share,6.9475,% of extra-EU27 exports,"Eurostat COMEXT ds-059331 (International trade of EU and non-EU countries since 2002 by SITC); reporter=BE, product=TOTAL, flow=2 EXPORT, indicators=VALUE_EUR, freq=A, time=2024; regional aggregate = sum of individual partner-country values (mapping in _regions_build.py); denominator = total exports minus exports to the 27 EU member states",2026-08-06
BEL,2024,Africa,export share,10.8549,% of extra-EU27 exports,"Eurostat COMEXT ds-059331 (International trade of EU and non-EU countries since 2002 by SITC); reporter=BE, product=TOTAL, flow=2 EXPORT, indicators=VALUE_EUR, freq=A, time=2024; regional aggregate = sum of individual partner-country values (mapping in _regions_build.py); denominator = total exports minus exports to the 27 EU member states",2026-08-06
BEL,2024,North America,export share,22.8036,% of extra-EU27 exports,"Eurostat COMEXT ds-059331 (International trade of EU and non-EU countries since 2002 by SITC); reporter=BE, product=TOTAL, flow=2 EXPORT, indicators=VALUE_EUR, freq=A, time=2024; regional aggregate = sum of individual partner-country values (mapping in _regions_build.py); denominator = total exports minus exports to the 27 EU member states",2026-08-06
BEL,2024,Latin America & Caribbean,export share,6.3701,% of extra-EU27 exports,"Eurostat COMEXT ds-059331 (International trade of EU and non-EU countries since 2002 by SITC); reporter=BE, product=TOTAL, flow=2 EXPORT, indicators=VALUE_EUR, freq=A, time=2024; regional aggregate = sum of individual partner-country values (mapping in _regions_build.py); denominator = total exports minus exports to the 27 EU member states",2026-08-06
BEL,2024,Oceania & polar regions,export share,1.6647,% of extra-EU27 exports,"Eurostat COMEXT ds-059331 (International trade of EU and non-EU countries since 2002 by SITC); reporter=BE, product=TOTAL, flow=2 EXPORT, indicators=VALUE_EUR, freq=A, time=2024; regional aggregate = sum of individual partner-country values (mapping in _regions_build.py); denominator = total exports minus exports to the 27 EU member states",2026-08-06
BEL,2024,Other / unallocated,export share,2.4276,% of extra-EU27 exports,"Eurostat COMEXT ds-059331 (International trade of EU and non-EU countries since 2002 by SITC); reporter=BE, product=TOTAL, flow=2 EXPORT, indicators=VALUE_EUR, freq=A, time=2024; regional aggregate = sum of individual partner-country values (mapping in _regions_build.py); denominator = total exports minus exports to the 27 EU member states",2026-08-06
BEL,2025,World,total exports,503715706301,EUR,"Eurostat COMEXT ds-059331 (International trade of EU and non-EU countries since 2002 by SITC); reporter=BE, product=TOTAL, flow=2 EXPORT, indicators=VALUE_EUR, freq=A, time=2025; regional aggregate = sum of individual partner-country values (mapping in _regions_build.py); denominator = n/a (level, partner=WORLD)",2026-08-06
BEL,2025,European Union (EU27),export share,69.1855,% of total exports,"Eurostat COMEXT ds-059331 (International trade of EU and non-EU countries since 2002 by SITC); reporter=BE, product=TOTAL, flow=2 EXPORT, indicators=VALUE_EUR, freq=A, time=2025; regional aggregate = sum of individual partner-country values (mapping in _regions_build.py); denominator = partner=WORLD total exports",2026-08-06
BEL,2025,Rest of Europe (non-EU27),export share,9.7257,% of total exports,"Eurostat COMEXT ds-059331 (International trade of EU and non-EU countries since 2002 by SITC); reporter=BE, product=TOTAL, flow=2 EXPORT, indicators=VALUE_EUR, freq=A, time=2025; regional aggregate = sum of individual partner-country values (mapping in _regions_build.py); denominator = partner=WORLD total exports",2026-08-06
BEL,2025,Asia (excl. Middle East),export share,5.7603,% of total exports,"Eurostat COMEXT ds-059331 (International trade of EU and non-EU countries since 2002 by SITC); reporter=BE, product=TOTAL, flow=2 EXPORT, indicators=VALUE_EUR, freq=A, time=2025; regional aggregate = sum of individual partner-country values (mapping in _regions_build.py); denominator = partner=WORLD total exports",2026-08-06
BEL,2025,Middle East,export share,2.3337,% of total exports,"Eurostat COMEXT ds-059331 (International trade of EU and non-EU countries since 2002 by SITC); reporter=BE, product=TOTAL, flow=2 EXPORT, indicators=VALUE_EUR, freq=A, time=2025; regional aggregate = sum of individual partner-country values (mapping in _regions_build.py); denominator = partner=WORLD total exports",2026-08-06
BEL,2025,Africa,export share,2.6726,% of total exports,"Eurostat COMEXT ds-059331 (International trade of EU and non-EU countries since 2002 by SITC); reporter=BE, product=TOTAL, flow=2 EXPORT, indicators=VALUE_EUR, freq=A, time=2025; regional aggregate = sum of individual partner-country values (mapping in _regions_build.py); denominator = partner=WORLD total exports",2026-08-06
BEL,2025,North America,export share,7.117,% of total exports,"Eurostat COMEXT ds-059331 (International trade of EU and non-EU countries since 2002 by SITC); reporter=BE, product=TOTAL, flow=2 EXPORT, indicators=VALUE_EUR, freq=A, time=2025; regional aggregate = sum of individual partner-country values (mapping in _regions_build.py); denominator = partner=WORLD total exports",2026-08-06
BEL,2025,Latin America & Caribbean,export share,1.9679,% of total exports,"Eurostat COMEXT ds-059331 (International trade of EU and non-EU countries since 2002 by SITC); reporter=BE, product=TOTAL, flow=2 EXPORT, indicators=VALUE_EUR, freq=A, time=2025; regional aggregate = sum of individual partner-country values (mapping in _regions_build.py); denominator = partner=WORLD total exports",2026-08-06
BEL,2025,Oceania & polar regions,export share,0.5098,% of total exports,"Eurostat COMEXT ds-059331 (International trade of EU and non-EU countries since 2002 by SITC); reporter=BE, product=TOTAL, flow=2 EXPORT, indicators=VALUE_EUR, freq=A, time=2025; regional aggregate = sum of individual partner-country values (mapping in _regions_build.py); denominator = partner=WORLD total exports",2026-08-06
BEL,2025,Other / unallocated,export share,0.7274,% of total exports,"Eurostat COMEXT ds-059331 (International trade of EU and non-EU countries since 2002 by SITC); reporter=BE, product=TOTAL, flow=2 EXPORT, indicators=VALUE_EUR, freq=A, time=2025; regional aggregate = sum of individual partner-country values (mapping in _regions_build.py); denominator = partner=WORLD total exports",2026-08-06
BEL,2025,Rest of Europe (non-EU27),export share,31.5619,% of extra-EU27 exports,"Eurostat COMEXT ds-059331 (International trade of EU and non-EU countries since 2002 by SITC); reporter=BE, product=TOTAL, flow=2 EXPORT, indicators=VALUE_EUR, freq=A, time=2025; regional aggregate = sum of individual partner-country values (mapping in _regions_build.py); denominator = total exports minus exports to the 27 EU member states",2026-08-06
BEL,2025,Asia (excl. Middle East),export share,18.6934,% of extra-EU27 exports,"Eurostat COMEXT ds-059331 (International trade of EU and non-EU countries since 2002 by SITC); reporter=BE, product=TOTAL, flow=2 EXPORT, indicators=VALUE_EUR, freq=A, time=2025; regional aggregate = sum of individual partner-country values (mapping in _regions_build.py); denominator = total exports minus exports to the 27 EU member states",2026-08-06
BEL,2025,Middle East,export share,7.5735,% of extra-EU27 exports,"Eurostat COMEXT ds-059331 (International trade of EU and non-EU countries since 2002 by SITC); reporter=BE, product=TOTAL, flow=2 EXPORT, indicators=VALUE_EUR, freq=A, time=2025; regional aggregate = sum of individual partner-country values (mapping in _regions_build.py); denominator = total exports minus exports to the 27 EU member states",2026-08-06
